Code,Title,Credits,Category,Description
EDCI 51300,Foundations of Ed Tech,3,Prerequisites,Intro to Learning Design and Technology.
EDCI 57200,Learning Systems Design,3,Prerequisites,Prerequisite course.
EDCI 53100,Learning Theories and Instructional Design,3,Prerequisites,Prerequisite course.
EDPS 53300,Introduction To Educational Research I: Methodology,3,Prerequisites,introductory research course
EDCI 62800,Curriculum and Instruction Seminar I,1,C&I Department Seminars,Fall semester C&I requirement.
EDCI 63800,Curriculum and Instruction Seminar II,1,C&I Department Seminars,Spring semester C&I requirement.
EDCI 66000,Learning Design and Technology Seminar,1,Core Ph.D. LDT Requirements,Core LDT seminar.
EDCI 62700,Critical Readings and Research in LDT,3,Core Ph.D. LDT Requirements,F2025 new requirement. Sub for EDPS 53300.
EDCI 67600,Writing Literature Reviews,2,Core Ph.D. LDT Requirements,Part of the LDT writing sequence.
EDCI 67700,Writing Research Proposals,2,Core Ph.D. LDT Requirements,Part of the LDT writing sequence.
EDCI 59100,Data Collection and Analysis,2,Core Ph.D. LDT Requirements,Part of the LDT writing sequence.
EDCI 67800,Writing for Scholarly Publications,2,Core Ph.D. LDT Requirements,Part of the LDT writing sequence.
EDCI 67200,Advanced Instructional Development and Systems Technology,3,Core Ph.D. LDT Requirements,Core LDT requirement.
EDCI 67300,Issues and Methods in Learning Systems Design Research,3,Core Ph.D. LDT Requirements,Core LDT requirement.
EDCI 67400,Advanced Instructional Design Theory,3,Core Ph.D. LDT Requirements,Core LDT requirement.
EDCI 69500,Internship in Learning Design and Technology,3,Core Ph.D. LDT Requirements,Core LDT internship. Credits can be 3+.
EDCI 56500,Principles of Adult Education ,3,LDT Electives - Educational Foundations,
EDPS 53000,Advanced Educational Psychology ,3,LDT Electives - Educational Foundations,
EDCI 58500,Multicultural Education ,3,LDT Electives - Educational Foundations,
EDPS 53300,Introduction to Educational Research  ,3,LDT Electives - Educational Foundations,
EDPS 53100,Introduction to Measurement and Instrument Design,3,LDT Electives - Educational Foundations,
EDCI 55201,AI Integration in Education,3,LDT Electives - Design,Design elective.
EDCI 56000,Educational Technology for Teaching and Learning ,3,LDT Electives - Design,
EDCI 55600,Educational Game Design,3,LDT Electives - Design,Design elective.
EDCI 56900,Introduction to E-learning,3,LDT Electives - Design,Design elective.
EDCI 62700,Current Topics in Learning Design and Technology ,3,LDT Electives - Design,
EDCI 67500,Instructional Strategies,3,LDT Electives - Design,Design elective.
EDCI 56400,Integration and Management of Technology for Learning,3,LDT Electives - Development,Development elective.
EDCI 56600,Educational Applications of Multimedia,3,LDT Electives - Development,Development elective.
EDCI 57500,Foundations of Blended and Online Learning,3,LDT Electives - Development,Development elective.
EDCI 58800,Motivation and Instructional Design,3,LDT Electives - Development,Development elective.
EDCI 66400,Learning Environment Design,3,LDT Electives - Development,Development elective.
EDCI 52800,Human Performance Technology,3,LDT Electives - Workplace Learning,Workplace Learning elective.
EDCI 57700,Strategic Assessment and Evaluation,3,LDT Electives - Workplace Learning,Workplace Learning elective.
EDCI 63300,Instructional Design Project Management,3,LDT Electives - Workplace Learning,Workplace Learning elective.
EDPS 55600,Introductory Statistics In Educational Research,3,Educational Research - Intro,Choose one introductory statistics course.
STAT 50100,Experimental Statistics I,3,Educational Research - Intro,Choose one introductory statistics course.
SOC 58000,a,3,Educational Research - Intro,x
SOC 58100,Social Research Methods,3,Educational Research - Intro,Choose one introductory statistics course.
SOC 58300,b,3,Educational Research - Intro,x
PSY 5000,c,3,Educational Research - Intro,x
PSY 60000,Statistical Inference,3,Educational Research - Intro,Choose one introductory statistics course.
PSY 68000,dd,3,Educational Research - Intro,x
COM 58200,e,3,Educational Research - Intro,x
EDCI 61500,Qualitative Research Methods in Education,3,Educational Research - Qualitative,Required qualitative methods course.
SOC 68600,f,3,Educational Research - Qualitative,x
ANTH 60500,g,3,Educational Research - Qualitative,x
TECH 69700,hh,3,Educational Research - Qualitative,x
COM 58500,ii,3,Educational Research - Qualitative,x
EDPS 55700,Educational Measurement,3,Educational Research - Advanced,Advanced quantitative elective.
EDCI 61600,Advanced Qualitative Research,3,Educational Research - Advanced,Advanced qualitative elective.
EDCI 684,jj,3,Educational Research - Advanced,x
STAT 50200,kk,3,Educational Research - Advanced,x
STAT 51200,Applied Regression Analysis,3,Educational Research - Advanced,Advanced quantitative elective.
PSY 60100,ll,3,Educational Research - Advanced,x
PSY 60500,mm,3,Educational Research - Advanced,x
PSY 61000,nn,3,Educational Research - Advanced,x
SOC 68000,oo,3,Educational Research - Advanced,x
HDFS 62700,pp,3,Educational Research - Advanced,x
EDPS 63000,Research Procedures in Education,3,Educational Research - General,Required research seminar.
EDCI 69900,Research PhD Thesis,3-6,Dissertation Research,Dissertation research.
